boundary_file	surface	file_kind	direction	transport	call_name	assignment_status	enum_source	arg_output_source_hints	worker_scope	notes
src/boundary/mp/cgame/exports.rs	MP cgame	enum	engine_to_module	vmMain	*Export enum vocabulary*	validate_enum_values_and_comments	oracle/oracle/codemp/cgame/cg_public.h	oracle/oracle/codemp/cgame/cg_public.h	src/boundary/mp/cgame/exports.rs	single-file assignment; preserve Raven comments; add args/output source locations
src/boundary/mp/cgame/imports.rs	MP cgame	enum	module_to_engine	syscall	*Import enum vocabulary*	validate_enum_values_and_comments	oracle/oracle/codemp/cgame/cg_public.h	oracle/oracle/codemp/cgame/cg_public.h	src/boundary/mp/cgame/imports.rs	single-file assignment; preserve Raven comments; add args/output source locations
src/boundary/mp/cgame/syscalls/CGAME_ACOS.rs	MP cgame	call	module_to_engine	syscall	CGAME_ACOS	port_args_output	oracle/oracle/codemp/cgame/cg_public.h	oracle/oracle/codemp/cgame/cg_syscalls.c; oracle/oracle/codemp/cgame/cg_local.h; oracle/oracle/codemp/client/cl_cgame.cpp	src/boundary/mp/cgame/syscalls/CGAME_ACOS.rs	single-file assignment; preserve Raven comments; add args/output source locations
src/boundary/mp/cgame/syscalls/CGAME_ANGLEVECTORS.rs	MP cgame	call	module_to_engine	syscall	CGAME_ANGLEVECTORS	port_args_output	oracle/oracle/codemp/cgame/cg_public.h	oracle/oracle/codemp/cgame/cg_syscalls.c; oracle/oracle/codemp/cgame/cg_local.h; oracle/oracle/codemp/client/cl_cgame.cpp	src/boundary/mp/cgame/syscalls/CGAME_ANGLEVECTORS.rs	single-file assignment; preserve Raven comments; add args/output source locations
src/boundary/mp/cgame/syscalls/CGAME_ASIN.rs	MP cgame	call	module_to_engine	syscall	CGAME_ASIN	port_args_output	oracle/oracle/codemp/cgame/cg_public.h	oracle/oracle/codemp/cgame/cg_syscalls.c; oracle/oracle/codemp/cgame/cg_local.h; oracle/oracle/codemp/client/cl_cgame.cpp	src/boundary/mp/cgame/syscalls/CGAME_ASIN.rs	single-file assignment; preserve Raven comments; add args/output source locations
src/boundary/mp/cgame/syscalls/CGAME_ATAN2.rs	MP cgame	call	module_to_engine	syscall	CGAME_ATAN2	port_args_output	oracle/oracle/codemp/cgame/cg_public.h	oracle/oracle/codemp/cgame/cg_syscalls.c; oracle/oracle/codemp/cgame/cg_local.h; oracle/oracle/codemp/client/cl_cgame.cpp	src/boundary/mp/cgame/syscalls/CGAME_ATAN2.rs	single-file assignment; preserve Raven comments; add args/output source locations
src/boundary/mp/cgame/syscalls/CGAME_CEIL.rs	MP cgame	call	module_to_engine	syscall	CGAME_CEIL	port_args_output	oracle/oracle/codemp/cgame/cg_public.h	oracle/oracle/codemp/cgame/cg_syscalls.c; oracle/oracle/codemp/cgame/cg_local.h; oracle/oracle/codemp/client/cl_cgame.cpp	src/boundary/mp/cgame/syscalls/CGAME_CEIL.rs	single-file assignment; preserve Raven comments; add args/output source locations
src/boundary/mp/cgame/syscalls/CGAME_COS.rs	MP cgame	call	module_to_engine	syscall	CGAME_COS	port_args_output	oracle/oracle/codemp/cgame/cg_public.h	oracle/oracle/codemp/cgame/cg_syscalls.c; oracle/oracle/codemp/cgame/cg_local.h; oracle/oracle/codemp/client/cl_cgame.cpp	src/boundary/mp/cgame/syscalls/CGAME_COS.rs	single-file assignment; preserve Raven comments; add args/output source locations
src/boundary/mp/cgame/syscalls/CGAME_FLOOR.rs	MP cgame	call	module_to_engine	syscall	CGAME_FLOOR	port_args_output	oracle/oracle/codemp/cgame/cg_public.h	oracle/oracle/codemp/cgame/cg_syscalls.c; oracle/oracle/codemp/cgame/cg_local.h; oracle/oracle/codemp/client/cl_cgame.cpp	src/boundary/mp/cgame/syscalls/CGAME_FLOOR.rs	single-file assignment; preserve Raven comments; add args/output source locations
src/boundary/mp/cgame/syscalls/CGAME_MATRIXMULTIPLY.rs	MP cgame	call	module_to_engine	syscall	CGAME_MATRIXMULTIPLY	port_args_output	oracle/oracle/codemp/cgame/cg_public.h	oracle/oracle/codemp/cgame/cg_syscalls.c; oracle/oracle/codemp/cgame/cg_local.h; oracle/oracle/codemp/client/cl_cgame.cpp	src/boundary/mp/cgame/syscalls/CGAME_MATRIXMULTIPLY.rs	single-file assignment; preserve Raven comments; add args/output source locations
