type_name	status	reference_count	fixme_count	rust_definition_count	references	fixmes	rust_definitions	oracle_candidates
autoMapInput_t	explicit_fixme_missing_rust_type	0	1	0		src/abi/mp/cgame/vmcalls/CG_AUTOMAP_INPUT.rs:25: /// FIXME: create type `autoMapInput_t` in Rust.		"oracle/oracle/codemp/cgame/cg_view.c:2280: autoMapInput_t cg_autoMapInput;
oracle/oracle/codemp/cgame/cg_main.c:151: extern autoMapInput_t cg_autoMapInput; //cg_view.c
oracle/oracle/codemp/cgame/cg_main.c:317: autoMapInput_t *autoInput = (autoMapInput_t *)cg.sharedBuffer;
oracle/oracle/codemp/cgame/cg_main.c:319: memcpy(&cg_autoMapInput, autoInput, sizeof(autoMapInput_t));
oracle/oracle/codemp/cgame/cg_public.h:449: } autoMapInput_t;"
boltInfo_v	explicit_fixme_missing_rust_type	0	1	0		src/abi/sp/cgame/vmcalls/CG_RESIZE_G2_BOLT.rs:19: /// FIXME: create type `boltInfo_v` in Rust (Raven source: `oracle/oracle/code/game/ghoul2_shared.h:203`).		"oracle/oracle/code/renderer/tr_ghoul2.cpp:1094: boltInfo_v &boltList;
oracle/oracle/code/renderer/tr_ghoul2.cpp:1112: boltInfo_v &initboltList,
oracle/oracle/code/renderer/tr_ghoul2.cpp:1116: boltInfo_v &initboltList):
oracle/oracle/code/renderer/tr_ghoul2.cpp:2367: void G2_ProcessSurfaceBolt2(CBoneCache &boneCache, const mdxmSurface_t *surface, int boltNum, boltInfo_v &boltList, const surfaceInfo_t *surfInfo, const model_t *mod,mdxaBone_t ...
oracle/oracle/code/renderer/tr_ghoul2.cpp:2632: boltInfo_v &boltList=ghoul2.mBltlist;"
boneInfo_v	explicit_fixme_missing_rust_type	0	1	0		src/abi/sp/cgame/vmcalls/CG_RESIZE_G2_BONE.rs:18: /// FIXME: create type `boneInfo_v` in Rust (Raven source: `oracle/oracle/code/game/ghoul2_shared.h:202`).		"oracle/oracle/code/renderer/tr_ghoul2.cpp:238: boneInfo_v *rootBoneList;
oracle/oracle/code/renderer/tr_ghoul2.cpp:1623: int G2_Add_Bone (const model_t *mod, boneInfo_v &blist, const char *boneName);
oracle/oracle/code/renderer/tr_ghoul2.cpp:1624: int G2_Find_Bone(CGhoul2Info *ghlInfo, boneInfo_v &blist, const char *boneName);
oracle/oracle/code/renderer/tr_ghoul2.cpp:1760: boneInfo_v &boneList = *BC.rootBoneList;
oracle/oracle/code/renderer/tr_ghoul2.cpp:2258: void G2_TransformGhoulBones(boneInfo_v &rootBoneList,mdxaBone_t &rootMatrix, CGhoul2Info &ghoul2, int time,bool smooth=true)"
CGhoul2Info_v	defined_rust_type_with_fixme	0	2	1		"src/abi/sp/cgame/vmcalls/CG_RESIZE_G2.rs:19: /// FIXME: create type `CGhoul2Info_v` in Rust (Raven source: `oracle/oracle/code/game/ghoul2_shared.h:311`).
src/abi/sp/cgame/syscalls/CG_G2_SETMODELS.rs:19: /// FIXME: create type CGhoul2Info_v. Raven source: `oracle/oracle/code/cgame/cg_local.h:1186`."	src/abi/sp/cgame/syscalls/CG_G2_SETMODELS.rs:19	"oracle/oracle/code/ui/ui_main.cpp:2469: CGhoul2Info_v ghoul2;
oracle/oracle/code/ui/ui_shared.h:232: qboolean (*g2_RemoveGhoul2Model)(CGhoul2Info_v &ghlInfo, const int modelIndex);
oracle/oracle/code/ui/ui_shared.h:233: int (*g2_InitGhoul2Model)(CGhoul2Info_v &ghoul2, const char *fileName, int, qhandle_t customSkin, qhandle_t customShader, int modelFlags, int lodBias);
oracle/oracle/code/ui/ui_shared.h:234: void (*g2_CleanGhoul2Models)(CGhoul2Info_v &ghoul2);
oracle/oracle/code/ui/ui_shared.h:236: qboolean (*g2_GetBoltMatrix)(CGhoul2Info_v &ghoul2, const int modelIndex, const int boltIndex, mdxaBone_t *matrix,"
clipHandle_t	missing_rust_type	2	0	0	"src/abi/sp/cgame/syscalls/CG_CM_TEMPBOXMODEL.rs:37: clipHandle_t
src/abi/sp/cgame/syscalls/CG_CM_INLINEMODEL.rs:36: clipHandle_t"			"oracle/oracle/code/ui/ui_local.h:201: void trap_R_ModelBounds( clipHandle_t model, vec3_t mins, vec3_t maxs );
oracle/oracle/code/ui/ui_public.h:99: void (*R_LerpTag)( orientation_t *tag, clipHandle_t mod, int startFrame, int endFrame,
oracle/oracle/code/ui/ui_syscalls.cpp:76: void trap_R_ModelBounds( clipHandle_t model, vec3_t mins, vec3_t maxs )
oracle/oracle/code/server/sv_game.cpp:123: clipHandle_t h;
oracle/oracle/code/server/sv_game.cpp:333: clipHandle_t ch;"
e_status	defined_rust_type_with_fixme	0	4	2		"src/abi/sp/cgame/syscalls/CG_CIN_RUNCINEMATIC.rs:36: /// FIXME: create type e_status. Raven source: `oracle/oracle/code/cgame/cg_syscalls.cpp:531-533`.
src/abi/sp/cgame/syscalls/CG_CIN_STOPCINEMATIC.rs:37: /// FIXME: create type e_status. Raven source: `oracle/oracle/code/cgame/cg_syscalls.cpp:526-527`.
src/abi/sp/ui/syscalls/UI_CIN_STOPCINEMATIC.rs:20: /// FIXME: create type `e_status` in Rust. Raven source: `oracle/oracle/code/game/q_shared.h:2670-2679`.
src/abi/sp/ui/syscalls/UI_CIN_RUNCINEMATIC.rs:9: /// FIXME: create type `e_status` in Rust (Raven source: `oracle/oracle/code/game/q_shared.h:2670-2679`)."	"src/abi/sp/cgame/syscalls/CG_CIN_RUNCINEMATIC.rs:36
src/abi/sp/cgame/syscalls/CG_CIN_STOPCINEMATIC.rs:37"	"oracle/oracle/code/game/q_shared.h:2679: } e_status;
oracle/oracle/code/cgame/cg_local.h:1199: e_status trap_CIN_StopCinematic(int handle);
oracle/oracle/code/cgame/cg_local.h:1200: e_status trap_CIN_RunCinematic (int handle);
oracle/oracle/code/cgame/cg_syscalls.cpp:526: e_status trap_CIN_StopCinematic(int handle) {
oracle/oracle/code/cgame/cg_syscalls.cpp:527: return (e_status) syscall(CG_CIN_STOPCINEMATIC, handle);"
markFragment_t	defined_rust_type_with_fixme	0	1	2		src/abi/sp/cgame/syscalls/CG_CM_MARKFRAGMENTS.rs:25: /// FIXME: create type markFragment_t. Raven source: `oracle/oracle/code/game/q_shared.h:1405`.	"src/abi/mp/cgame/syscalls/CG_CM_MARKFRAGMENTS.rs:14
src/abi/sp/cgame/syscalls/CG_CM_MARKFRAGMENTS.rs:25"	"oracle/oracle/code/renderer/tr_public.h:102: int maxPoints, vec3_t pointBuffer, int maxFragments, markFragment_t *fragmentBuffer );
oracle/oracle/code/renderer/tr_marks.cpp:197: int maxFragments, markFragment_t *fragmentBuffer,
oracle/oracle/code/renderer/tr_marks.cpp:201: markFragment_t *mf;
oracle/oracle/code/renderer/tr_marks.cpp:254: int maxPoints, vec3_t pointBuffer, int maxFragments, markFragment_t *fragmentBuffer ) {
oracle/oracle/code/renderer/tr_local.h:1801: int maxPoints, vec3_t pointBuffer, int maxFragments, markFragment_t *fragmentBuffer );"
mdxaBone_v	explicit_fixme_missing_rust_type	0	1	0		src/abi/sp/cgame/vmcalls/CG_RESIZE_G2_TEMPBONE.rs:18: /// FIXME: create type `mdxaBone_v` in Rust (Raven source: `oracle/oracle/code/game/ghoul2_shared.h:204`).		"oracle/oracle/code/game/ghoul2_shared.h:204: typedef vector <mdxaBone_t> mdxaBone_v;
oracle/oracle/code/cgame/cg_main.cpp:44: void CG_ResizeG2TempBone(mdxaBone_v *tempBone, int newCount);
oracle/oracle/code/cgame/cg_main.cpp:131: CG_ResizeG2TempBone((mdxaBone_v *)arg0, arg1);
oracle/oracle/code/cgame/cg_main.cpp:202: void CG_ResizeG2TempBone(mdxaBone_v *tempBone, int newCount)
oracle/oracle/codemp/renderer/tr_ghoul2.cpp:2053: void G2_SetUpBolts( mdxaHeader_t *header, CGhoul2Info &ghoul2, mdxaBone_v &bonePtr, boltInfo_v &boltList)"
memtag_t	explicit_fixme_missing_rust_type	0	2	0		"src/abi/sp/cgame/syscalls/CG_Z_MALLOC.rs:19: // FIXME: create type `memtag_t` (Raven typedef: `oracle/oracle/code/game/q_shared.h:2688`).
src/abi/sp/cgame/syscalls/CG_Z_MALLOC.rs:39: /// FIXME: create type `memtag_t` for the second argument; using `c_int` preserves"		"oracle/oracle/code/renderer/tr_model.cpp:159: void *RE_RegisterModels_Malloc(int iSize, void *pvDiskBufferIfJustLoaded, const char *psModelFileName, qboolean *pqbAlreadyFound, memtag_t eTag)
oracle/oracle/code/renderer/tr_image.cpp:2221: const memtag_t usedTag = TAG_TEMP_WORKSPACE;
oracle/oracle/code/renderer/tr_local.h:1529: void* RE_RegisterModels_Malloc(int iSize, void *pvDiskBufferIfJustLoaded, const char *psModelFileName, qboolean *pqbAlreadyFound, memtag_t eTag);
oracle/oracle/code/server/sv_game.cpp:426: static void *G_ZMalloc_Helper( int iSize, memtag_t eTag, qboolean bZeroit)
oracle/oracle/code/server/sv_init.cpp:338: extern void Z_TagPointers(memtag_t);"
refdef_t	explicit_fixme_missing_rust_type	0	1	0		src/abi/sp/ui/syscalls/UI_R_RENDERSCENE.rs:13: /// Args source: `oracle/oracle/code/ui/ui_public.h:80`; FIXME: create type `refdef_t`.		"oracle/oracle/code/ui/ui_shared.cpp:7154: refdef_t refdef;
oracle/oracle/code/ui/ui_local.h:205: void trap_R_RenderScene( const refdef_t *fd );
oracle/oracle/code/ui/ui_public.h:80: void (*R_RenderScene)( const refdef_t *fd );
oracle/oracle/code/ui/ui_syscalls.cpp:54: void trap_R_RenderScene( const refdef_t *fd )
oracle/oracle/code/ui/ui_shared.h:200: void (*renderScene) ( const refdef_t *fd );"
stereoFrame_t	explicit_fixme_missing_rust_type	0	1	0		src/abi/sp/cgame/vmcalls/CG_DRAW_ACTIVE_FRAME.rs:18: /// FIXME: create type `stereoFrame_t` in Rust (Raven source: `oracle/oracle/code/renderer/tr_types.h:183`).		"oracle/oracle/code/renderer/tr_public.h:82: void (*BeginFrame)( stereoFrame_t stereoFrame );
oracle/oracle/code/renderer/tr_types.h:183: } stereoFrame_t;
oracle/oracle/code/renderer/tr_cmds.cpp:352: void RE_BeginFrame( stereoFrame_t stereoFrame ) {
oracle/oracle/code/renderer/tr_local.h:2108: void RE_BeginFrame( stereoFrame_t stereoFrame );
oracle/oracle/code/cgame/cg_main.cpp:107: CG_DrawActiveFrame( arg0, (stereoFrame_t) arg1 );"
surfaceInfo_v	explicit_fixme_missing_rust_type	0	1	0		src/abi/sp/cgame/vmcalls/CG_RESIZE_G2_SURFACE.rs:18: /// FIXME: create type `surfaceInfo_v` in Rust (Raven source: `oracle/oracle/code/game/ghoul2_shared.h:201`).		"oracle/oracle/code/renderer/tr_ghoul2.cpp:1085: surfaceInfo_v &rootSList;
oracle/oracle/code/renderer/tr_ghoul2.cpp:1102: surfaceInfo_v &initrootSList,
oracle/oracle/code/ghoul2/G2_surfaces.cpp:70: const surfaceInfo_t *G2_FindOverrideSurface(int surfaceNum,const surfaceInfo_v &surfaceList)
oracle/oracle/code/ghoul2/G2_surfaces.cpp:156: const mdxmSurface_t *G2_FindSurface(CGhoul2Info *ghlInfo, surfaceInfo_v &slist, const char *surfaceName,
oracle/oracle/code/ghoul2/G2_surfaces.cpp:239: void G2_FindRecursiveSurface(const model_t *currentModel, int surfaceNum, surfaceInfo_v &rootList, int *activeSurfaces)"
TCGCameraShake	explicit_fixme_missing_rust_type	0	2	0		"src/abi/mp/cgame/vmcalls/CG_FX_CAMERASHAKE.rs:14: /// FIXME: create type `TCGCameraShake` from
src/abi/mp/cgame/vmcalls/CG_FX_CAMERASHAKE.rs:20: type Args = (); //FIXME: create type `TCGCameraShake` in Rust when this payload moves to first-class ABI args."		"oracle/oracle/codemp/cgame/cg_main.c:348: TCGCameraShake *data = (TCGCameraShake *)cg.sharedBuffer;
oracle/oracle/codemp/cgame/cg_public.h:519: } TCGCameraShake;
oracle/oracle/codemp/client/FxSystem.cpp:85: TCGCameraShake *data = (TCGCameraShake *)cl.mSharedMemory;"
TCGG2Mark	explicit_fixme_missing_rust_type	0	2	0		"src/abi/mp/cgame/vmcalls/CG_G2MARK.rs:14: /// FIXME: create type `TCGG2Mark` in Rust from
src/abi/mp/cgame/vmcalls/CG_G2MARK.rs:20: type Args = (); //FIXME: create type `TCGG2Mark` in Rust when payload modeling is added."		"oracle/oracle/codemp/cgame/cg_main.c:424: TCGG2Mark *td = (TCGG2Mark *)cg.sharedBuffer;
oracle/oracle/codemp/cgame/cg_public.h:504: } TCGG2Mark;
oracle/oracle/codemp/client/FxSystem.h:163: TCGG2Mark *td = (TCGG2Mark *)cl.mSharedMemory;"
TCGGetBoltData	explicit_fixme_missing_rust_type	0	2	0		"src/abi/mp/cgame/vmcalls/CG_GET_LERP_DATA.rs:14: /// FIXME: create type `TCGGetBoltData` in Rust from
src/abi/mp/cgame/vmcalls/CG_GET_LERP_DATA.rs:21: type Args = (); //FIXME: create type `TCGGetBoltData` in Rust when payload modeling is added."		"oracle/oracle/codemp/cgame/cg_main.c:378: TCGGetBoltData *data = (TCGGetBoltData *)cg.sharedBuffer;
oracle/oracle/codemp/cgame/cg_public.h:465: } TCGGetBoltData;
oracle/oracle/codemp/client/FxSystem.cpp:100: TCGGetBoltData *data = (TCGGetBoltData*)cl.mSharedMemory;"
TCGImpactMark	explicit_fixme_missing_rust_type	0	2	0		"src/abi/mp/cgame/vmcalls/CG_IMPACT_MARK.rs:17: /// FIXME: create type `TCGImpactMark` in Rust from
src/abi/mp/cgame/vmcalls/CG_IMPACT_MARK.rs:23: type Args = (); //FIXME: create type `TCGImpactMark` in Rust when this payload is modeled."		"oracle/oracle/codemp/cgame/cg_main.c:572: TCGImpactMark *data = (TCGImpactMark *)cg.sharedBuffer;
oracle/oracle/codemp/cgame/cg_public.h:479: } TCGImpactMark;"
TCGMiscEnt	explicit_fixme_missing_rust_type	0	2	0		"src/abi/mp/cgame/vmcalls/CG_MISC_ENT.rs:14: /// FIXME: create type `TCGMiscEnt` in Rust from
src/abi/mp/cgame/vmcalls/CG_MISC_ENT.rs:20: type Args = (); //FIXME: create type `TCGMiscEnt` in Rust when this payload is modeled."		"oracle/oracle/code/RMG/RM_Terrain.cpp:334: // TCGMiscEnt *data = (TCGMiscEnt *)cl.mSharedMemory;
oracle/oracle/codemp/RMG/RM_Terrain.cpp:338: TCGMiscEnt *data = (TCGMiscEnt *)cl.mSharedMemory;
oracle/oracle/codemp/cgame/cg_main.c:586: TCGMiscEnt *data = (TCGMiscEnt *)cg.sharedBuffer;
oracle/oracle/codemp/cgame/cg_public.h:526: } TCGMiscEnt;"
TCGPointContents	explicit_fixme_missing_rust_type	0	2	0		"src/abi/mp/cgame/vmcalls/CG_POINT_CONTENTS.rs:16: /// FIXME: create type `TCGPointContents` in Rust from
src/abi/mp/cgame/vmcalls/CG_POINT_CONTENTS.rs:22: type Args = (); //FIXME: create type `TCGPointContents` in Rust when this payload is modeled."		"oracle/oracle/codemp/cgame/cg_main.c:364: TCGPointContents *data = (TCGPointContents *)cg.sharedBuffer;
oracle/oracle/codemp/cgame/cg_public.h:456: } TCGPointContents;
oracle/oracle/codemp/client/FxPrimitives.cpp:234: TCGPointContents *data = (TCGPointContents *)cl.mSharedMemory;"
TCGTrace	explicit_fixme_missing_rust_type	0	4	0		"src/abi/mp/cgame/vmcalls/CG_G2TRACE.rs:16: /// FIXME: create type `TCGTrace` in Rust from
src/abi/mp/cgame/vmcalls/CG_G2TRACE.rs:22: type Args = (); //FIXME: create type `TCGTrace` in Rust when payload modeling is added.
src/abi/mp/cgame/vmcalls/CG_TRACE.rs:16: /// FIXME: create type `TCGTrace` in Rust from
src/abi/mp/cgame/vmcalls/CG_TRACE.rs:22: type Args = (); //FIXME: create type `TCGTrace` in Rust when payload modeling is added."		"oracle/oracle/code/RMG/RM_Terrain.cpp:335: // TCGTrace *td = (TCGTrace *)cl.mSharedMemory;
oracle/oracle/codemp/RMG/RM_Terrain.cpp:339: TCGTrace *td = (TCGTrace *)cl.mSharedMemory;
oracle/oracle/codemp/cgame/cg_main.c:410: TCGTrace *td = (TCGTrace *)cg.sharedBuffer;
oracle/oracle/codemp/cgame/cg_main.c:417: TCGTrace *td = (TCGTrace *)cg.sharedBuffer;
oracle/oracle/codemp/cgame/cg_public.h:496: } TCGTrace;"
