  0: 01  (2 bits)
  1: 11011  (5 bits)
  2: 0001001  (7 bits)
  3: 0011011  (7 bits)
  4: 10000101  (8 bits)
  5: 10001000  (8 bits)
  6: 0000100  (7 bits)
  7: 111111  (6 bits)
  8: 10101  (5 bits)
  9: 0010110  (7 bits)
 10: 1001011  (7 bits)
 11: 1101000  (7 bits)
 12: 1100100  (7 bits)
 13: 101101  (6 bits)
 14: 10011100  (8 bits)
 15: 001101010  (9 bits)
 16: 1010010  (7 bits)
 17: 000110100  (9 bits)
 18: 000011111  (9 bits)
 19: 000111111  (9 bits)
 20: 1011101110  (10 bits)
 21: 1100111111  (10 bits)
 22: 1101010001  (10 bits)
 23: 1100010011  (10 bits)
 24: 001011110  (9 bits)
 25: 1011000110  (10 bits)
 26: 1101010100  (10 bits)
 27: 1100011011  (10 bits)
 28: 1101011110  (10 bits)
 29: 11000010  (8 bits)
 30: 111100100  (9 bits)
 31: 00101011  (8 bits)
 32: 111011  (6 bits)
 33: 1100101100  (10 bits)
 34: 001000100  (9 bits)
 35: 1011001101  (10 bits)
 36: 1010001111  (10 bits)
 37: 1001111111  (10 bits)
 38: 1011000011  (10 bits)
 39: 1011001111  (10 bits)
 40: 001010010  (9 bits)
 41: 0011010110  (10 bits)
 42: 1100110000  (10 bits)
 43: 0010100000  (10 bits)
 44: 1000111001  (10 bits)
 45: 0000111101  (10 bits)
 46: 001011111  (9 bits)
 47: 00011110  (8 bits)
 48: 1110010  (7 bits)
 49: 11000011  (8 bits)
 50: 11110111  (8 bits)
 51: 111010011  (9 bits)
 52: 11001010  (8 bits)
 53: 10001101  (8 bits)
 54: 101100000  (9 bits)
 55: 100001101  (9 bits)
 56: 111000000  (9 bits)
 57: 100011110  (9 bits)
 58: 100110011  (9 bits)
 59: 1000100110  (10 bits)
 60: 1100010010  (10 bits)
 61: 001111010  (9 bits)
 62: 001000101  (9 bits)
 63: 1100111110  (10 bits)
 64: 11110011  (8 bits)
 65: 0000101  (7 bits)
 66: 0011111  (7 bits)
 67: 0010000  (7 bits)
 68: 10000100  (8 bits)
 69: 10001010  (8 bits)
 70: 000000010  (9 bits)
 71: 000011100  (9 bits)
 72: 101111001  (9 bits)
 73: 1100011000  (10 bits)
 74: 1110101101  (10 bits)
 75: 1000111011  (10 bits)
 76: 101110011  (9 bits)
 77: 1101010101  (10 bits)
 78: 1110001110  (10 bits)
 79: 1100110011  (10 bits)
 80: 001101001  (9 bits)
 81: 1011100100  (10 bits)
 82: 1101011010  (10 bits)
 83: 1101011011  (10 bits)
 84: 1100101110  (10 bits)
 85: 1000111010  (10 bits)
 86: 1100011110  (10 bits)
 87: 1100110001  (10 bits)
 88: 1110101100  (10 bits)
 89: 1101001101  (10 bits)
 90: 000011101  (9 bits)
 91: 000101010  (9 bits)
 92: 111000110  (9 bits)
 93: 101000001  (9 bits)
 94: 110101110  (9 bits)
 95: 00011011  (8 bits)
 96: 110011110  (9 bits)
 97: 00111100  (8 bits)
 98: 110101011  (9 bits)
 99: 111100011  (9 bits)
100: 111010010  (9 bits)
101: 0000110  (7 bits)
102: 10000010  (8 bits)
103: 111100101  (9 bits)
104: 001110  (6 bits)
105: 00010100  (8 bits)
106: 101111010  (9 bits)
107: 001000110  (9 bits)
108: 00011001  (8 bits)
109: 111100010  (9 bits)
110: 00110000  (8 bits)
111: 11001101  (8 bits)
112: 10100001  (8 bits)
113: 00110001  (8 bits)
114: 11100010  (8 bits)
115: 10011110  (8 bits)
116: 1001101  (7 bits)
117: 0000001  (7 bits)
118: 11101000  (8 bits)
119: 10011000  (8 bits)
120: 11010010  (8 bits)
121: 10000111  (8 bits)
122: 11000101  (8 bits)
123: 11001110  (8 bits)
124: 11110110  (8 bits)
125: 0001011  (7 bits)
126: 0001000  (7 bits)
127: 1010011  (7 bits)
128: 111110  (6 bits)
129: 1001010  (7 bits)
130: 0011001  (7 bits)
131: 1011111  (7 bits)
132: 11110000  (8 bits)
133: 11000001  (8 bits)
134: 10000000  (8 bits)
135: 11100001  (8 bits)
136: 11100110  (8 bits)
137: 11100111  (8 bits)
138: 11101010  (8 bits)
139: 00101110  (8 bits)
140: 110100111  (9 bits)
141: 001000111  (9 bits)
142: 100000010  (9 bits)
143: 101100100  (9 bits)
144: 100011001  (9 bits)
145: 1100011010  (10 bits)
146: 000000011  (9 bits)
147: 1110101111  (10 bits)
148: 1101010000  (10 bits)
149: 1010001010  (10 bits)
150: 1101011000  (10 bits)
151: 1011110000  (10 bits)
152: 1101010011  (10 bits)
153: 1001111100  (10 bits)
154: 1100011100  (10 bits)
155: 1010001001  (10 bits)
156: 1101010010  (10 bits)
157: 1000110000  (10 bits)
158: 1101011111  (10 bits)
159: 1001110110  (10 bits)
160: 001010001  (9 bits)
161: 1001111110  (10 bits)
162: 1100110010  (10 bits)
163: 0011010000  (10 bits)
164: 1011101101  (10 bits)
165: 1000001110  (10 bits)
166: 1011100011  (10 bits)
167: 1000101110  (10 bits)
168: 000111001  (9 bits)
169: 1000011000  (10 bits)
170: 1100011101  (10 bits)
171: 1010001011  (10 bits)
172: 1101011001  (10 bits)
173: 1011001100  (10 bits)
174: 1101001100  (10 bits)
175: 1011001010  (10 bits)
176: 000111000  (9 bits)
177: 1000001111  (10 bits)
178: 1011110001  (10 bits)
179: 0011110111  (10 bits)
180: 1010001100  (10 bits)
181: 0011010111  (10 bits)
182: 1100011111  (10 bits)
183: 1001100101  (10 bits)
184: 1100101111  (10 bits)
185: 0010100001  (10 bits)
186: 1100000001  (10 bits)
187: 0011110110  (10 bits)
188: 1011100101  (10 bits)
189: 1000000111  (10 bits)
